"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"900030",17400,400772,"1",
"980000",17400,400772,"1",
"980010",1,400772,"1",
"980020",86,400772,"1","T"
"980040",6,400772,"1",
"980060",1,400772,"1",
"980070",17400,400772,"1",
"980090",100,400772,"1",
"980210",100,400772,"1",
"980240",100,400772,"1",
"980280",100,400772,"1",
"980300",100,400772,"1",
"980330",100,400772,"1",
"980010",2,400781,"1",
"980020",67,400781,"1",
"980030",2,400781,"1",
"980040",2,400781,"1",
"980060",2,400781,"1",
"980090",100,400781,"1",
"980210",100,400781,"1",
"980230",100,400781,"1",
"980280",100,400781,"1",
"980310",100,400781,"1",
"980330",100,400781,"1",
"980010",2,400782,"1",
"980020",62,400782,"1",
"980030",2,400782,"1",
"980040",2,400782,"1",
"980090",100,400782,"1",
"980210",100,400782,"1",
"980230",100,400782,"1",
"980280",100,400782,"1",
"980310",100,400782,"1",
"980330",100,400782,"1",
"900030",14400,400791,"1",
"900040",28800,400791,"1",
"980000",43200,400791,"1",
"980010",2,400791,"1",
"980020",67,400791,"1",
"980040",4,400791,"1",
"980060",2,400791,"1",
"980070",43200,400791,"1",
"980090",100,400791,"1",
"980210",100,400791,"1",
"980240",100,400791,"1",
"980280",100,400791,"1",
"980300",100,400791,"1",
"980330",100,400791,"1",
"900030",14400,400792,"1",
"900040",28800,400792,"1",
"980000",43200,400792,"1",
"980010",2,400792,"1",
"980020",67,400792,"1",
"980040",4,400792,"1",
"980060",2,400792,"1",
"980070",43200,400792,"1",
"980090",100,400792,"1",
"980210",100,400792,"1",
"980240",100,400792,"1",
"980280",100,400792,"1",
"980300",100,400792,"1",
"980330",100,400792,"1",
"900030",600,400801,"1",
"980000",600,400801,"1",
"980010",2,400801,"1",
"980020",62,400801,"1",
